24
BJP 北京
SHH 上海
TJP 天津
CCT 长春
CDW 成都
FZS 福州
GIW 贵阳
GZQ 广州
HBB 哈尔滨
HHC 呼和浩特
KMM 昆明
LZJ 兰州
NCG 南昌
NNZ 南宁
SYT 沈阳
WHN 武汉
XAY 西安
XNO 西宁
ZZF 郑州
DLT 大连
LZZ 柳州
SZQ 深圳
XCH 徐州
WAR 乌鲁木齐

1064
CZ6284 BJP NNZ 22:05 01:40 03:35 1240.0
CZ6116 BJP SYT 07:35 09:10 01:35 1120.0
CZ6102 BJP SYT 10:40 12:10 01:30 1180.0
CZ6104 BJP SYT 12:55 14:25 01:30 1180.0
CZ6106 BJP SYT 18:05 19:35 01:30 1100.0
CZ6110 BJP SYT 22:10 23:40 01:30 930.0
CZ6606 BJP WHN 06:35 08:55 02:20 720.0
CZ9112 BJP WHN 08:10 10:25 02:15 1200.0
CZ3118 BJP WHN 10:30 13:00 02:30 1810.0
CZ9149 BJP WHN 11:30 13:55 02:25 1480.0
CZ3140 BJP WHN 19:15 21:30 02:15 1500.0
CZ9153 BJP WHN 21:05 23:25 02:20 1200.0
CZ9151 BJP WHN 22:35 00:55 02:20 1200.0
CZ3173 BJP XAY 06:55 09:05 02:10 610.0
CZ9157 BJP XAY 07:55 10:00 02:05 1170.0
CZ9463 BJP XAY 08:40 10:55 02:15 1850.0
CZ9228 BJP XAY 11:00 13:05 02:05 1850.0
CZ9178 BJP XAY 12:50 15:00 02:10 1850.0
CZ9464 BJP XAY 14:05 16:20 02:15 1850.0
CZ9229 BJP XAY 15:05 17:10 02:05 1850.0
CZ9401 BJP XAY 17:05 19:10 02:05 1850.0
CZ6948 BJP XAY 18:05 20:15 02:10 1070.0
CZ9402 BJP XAY 18:45 20:55 02:10 1850.0
CZ9177 BJP XAY 21:15 23:25 02:10 1170.0
CZ6993 BJP XNO 06:40 09:25 02:45 1410.0
CZ9004 BJP XNO 10:35 13:20 02:45 2080.0
CZ6991 BJP XNO 16:55 19:40 02:45 1800.0
CZ9147 BJP XNO 20:55 23:50 02:55 2080.0
CZ6132 BJP DLT 00:10 01:40 01:30 450.0
CZ6124 BJP DLT 07:35 09:10 01:35 620.0
CZ6126 BJP DLT 10:15 11:50 01:35 790.0
CZ6130 BJP DLT 12:30 14:05 01:35 850.0
CZ6122 BJP DLT 15:55 17:25 01:30 850.0
CZ6134 BJP DLT 17:25 18:55 01:30 850.0
CZ6140 BJP DLT 22:20 23:50 01:30 850.0
CZ6128 BJP DLT 23:10 00:35 01:25 540.0
CZ3194 BJP SZQ 08:10 11:40 03:30 1980.0
CZ3156 BJP SZQ 09:00 12:25 03:25 1980.0
CZ3192 BJP SZQ 10:00 13:30 03:30 1980.0
CZ3152 BJP SZQ 13:00 16:20 03:20 1980.0
CZ3160 BJP SZQ 15:00 18:30 03:30 1980.0
CZ3961 BJP SZQ 17:00 20:35 03:35 1980.0
CZ3154 BJP SZQ 18:00 21:30 03:30 1980.0
CZ3190 BJP SZQ 20:00 23:30 03:30 1980.0
CZ3158 BJP SZQ 21:00 00:35 03:35 1980.0
CZ3256 BJP SZQ 07:55 12:55 05:00 1310.0
CZ6931 BJP WAR 07:40 11:50 04:10 2020.0
CZ6904 BJP WAR 09:10 13:20 04:10 1780.0
CZ6912 BJP WAR 12:50 16:55 04:05 2020.0
CZ6902 BJP WAR 14:40 18:50 04:10 2020.0
CZ6025 BJP WAR 14:50 19:00 04:10 2020.0
CZ6908 BJP WAR 15:00 19:10 04:10 2020.0
CZ6910 BJP WAR 19:35 23:45 04:10 1780.0
CZ6906 BJP WAR 21:35 01:40 04:05 1520.0
CZ9270 SHH BJP 07:00 09:20 02:20 1240.0
CZ9234 SHH BJP 08:00 10:15 02:15 1240.0
CZ9274 SHH BJP 08:30 10:45 02:15 1240.0
CZ9236 SHH BJP 09:00 11:20 02:20 1240.0
CZ9276 SHH BJP 09:30 11:55 02:25 1240.0
CZ9238 SHH BJP 10:00 12:15 02:15 1240.0
CZ9240 SHH BJP 11:00 13:20 02:20 1240.0
CZ3952 SHH BJP 11:45 14:10 02:25 780.0
CZ9242 SHH BJP 12:00 14:15 02:15 970.0
CZ9244 SHH BJP 13:00 15:15 02:15 970.0
CZ9246 SHH BJP 14:00 16:15 02:15 1240.0
CZ9278 SHH BJP 14:30 16:45 02:15 1240.0
CZ9248 SHH BJP 15:00 17:15 02:15 1240.0
CZ9250 SHH BJP 16:00 18:15 02:15 1240.0
CZ9252 SHH BJP 17:00 19:20 02:20 1240.0
CZ9280 SHH BJP 17:30 19:50 02:20 1240.0
CZ9254 SHH BJP 18:00 20:20 02:20 1240.0
CZ9256 SHH BJP 19:00 21:20 02:20 1240.0
CZ3908 SHH BJP 20:55 23:15 02:20 660.0
CZ9654 SHH BJP 21:00 23:25 02:25 970.0
CZ6411 SHH BJP 22:30 00:50 02:20 600.0
CZ9751 SHH TJP 12:50 15:15 02:25 1060.0
CZ9010 SHH CDW 08:00 11:20 03:20 1760.0
CZ9011 SHH CDW 09:30 13:00 03:30 1760.0
CZ9013 SHH CDW 19:10 22:30 03:20 1760.0
CZ9012 SHH CDW 19:15 22:35 03:20 1760.0
